article,party,sentiment
"ఈ తుఫాన్ సమయంలో జగన్ సీఎంగా ఉండుంటే.. వైసీపీ ఎమ్మెల్యే ఇంట్రెస్టింగ్ ట్వీట్ Ysrcp Mla Chandra Sekhar Tweet On Ys Jagan: మొంథా తుఫాన్ ఆంధ్రప్రదేశ్‌లో బీభత్సం సృష్టించింది, పలు జిల్లాల్లో వరదలు, పంట నష్టం సంభవించాయి. ప్రభుత్వం నిత్యావసరాలు, ఆర్థిక సాయం ప్రకటించినా, వైఎస్సార్‌సీపీ ఎమ్మెల్యే మాత్రం గత ప్రభుత్వంతో పోల్చి ప్రస్తుత సాయం తక్కువగా ఉందని విమర్శించారు. పునరావాస కేంద్రాల్లో ఉన్నవారికి, ఉపాధి కోల్పోయిన వారికి ప్రభుత్వం నిత్యావసరాలు పంపిణీ చేస్తోంది.",INC,Negative
"కాంగ్రెస్ పార్టీ ప్రజల సంక్షేమం పట్ల ఎప్పుడూ కట్టుబడి ఉందని నాయకులు తెలిపారు. రైతు, కార్మిక వర్గాల కోసం చేపట్టిన కార్యక్రమాలు ప్రజల మన్ననలు పొందుతున్నాయి. రాహుల్ గాంధీ నాయకత్వంలో యువతలో కొత్త ఉత్సాహం కనిపిస్తోందని పార్టీ కార్యకర్తలు పేర్కొన్నారు.",INC,Positive
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",INC,Positive
తిరుమల కల్తీ నెయ్యి కేసులో షాకింగ్ ట్విస్ట్.. వైవీ సుబ్బారెడ్డి పీఏ అప్పన్న అరెస్టు Tirumala Laddu Ghee Adulteration Scam: తిరుమల కల్తీ నెయ్యి కేసు దర్యాప్తు ఇంకా కొనసాగుతోందంటే ఆశ్చర్యమే. 15 నెలలుగా ఎందుకీ పరిస్థితి? దీనిపై సుప్రీంకోర్టే అసంతృప్తి వ్యక్తం చెయ్యడంతో.. ఇప్పుడు సిట్ స్పీడ్ పెంచింది.,INC,Negative
"కాంగ్రెస్ పార్టీ ప్రజా సమస్యలపై గళం విప్పి ప్రభుత్వాన్ని ప్రశ్నిస్తున్నది. పేదల పక్షాన ఎల్లప్పుడూ నిలబడిన పార్టీగా కాంగ్రెస్ పేరు తెచ్చుకుంది. సామాజిక సమానత్వం, న్యాయం కోసం కాంగ్రెస్ నిరంతరంగా కృషి చేస్తోంది.",INC,Positive
"YSRCP: చావు ఏదైనా.. చిచ్చు పెట్టేద్దాం శవం కోసం వెతకడం, దాని చుట్టూ రాజకీయాలు చేయడం వైసీపీకి పరిపాటైంది. గుంటూరు జిల్లా ప్రత్తిపాడు నియోజకవర్గం వెంగళాయపాలెం గ్రామానికి చెందిన ఈపూరి శేషమ్మ..",INC,Negative
Satya Prasad Fires Jagan: జగన్ హయాంలో రాజకీయంగా లబ్ధి పొందేందుకు జిల్లాలు పునర్విభజించారు: అనగాని సత్యప్రసాద్ గత వైసీపీ ప్రభుత్వం అశాస్త్రీయంగా జిల్లాలని పునర్విభజించిదని మంత్రి అనగాని సత్యప్రసాద్ విమర్శలు చేశారు. జగన్ హయాంలో రాజకీయంగా లబ్ధి పొందేందుకు జిల్లాలు పునర్విభజించిందని అనగాని సత్యప్రసాద్ ఆరోపించారు.,INC,Negative
ఆ జిల్లాలో వైసీపీకి షాక్.. ఉత్తర్వులు జారీ.. విపక్ష వైఎస్సార్ కాంగ్రెస్ పార్టీకి మరో షాక్ తగిలింది. అనంతపురం జిల్లా కళ్యాణదుర్గం మున్సిపల్ ఛైర్మన్ స్థానాన్ని కోల్పోవాల్సి వచ్చింది. కౌన్సిల్ సమావేశాలు నిర్వహించకుండా అభివృద్ధికి అడ్డుపడుతున్నారనే ఆరోపణలపై కళ్యాణదుర్గం మున్సిపల్ ఛైర్మన్ తలారి రాజ్ కుమార్‌ను ప్రభుత్వం పదవి నుంచి తొలగించింది. ఆరోపణలపై నోటీసులు ఇచ్చినా స్పందించకపోవటంతోనే ఈ నిర్ణయం తీసుకుంది. ఈ మేరకు ఉత్తర్వులు జారీ అయ్యాయి.,INC,Negative
"Cyclone Montha: మొంథా తుఫాన్ ఎఫెక్ట్.. ఏపీకి ఎంత నష్టం జరిగిందో తెలుసా? మొంథా తుఫాన్ కారణంగా రాష్ట్రానికి ఏర్పడిన నష్టంపై అధికారులతో సీఎం చంద్రబాబు సమీక్ష నిర్వహించారు. ఈ సందర్భంగా వివిధ రంగాల్లో ఏర్పడిన నష్టాన్ని అధికారులు సీఎం దృష్టికి తీసుకొచ్చారు. సమావేశం తర్వాత సీఎం మాట్లాడుతూ.. తుఫాన్‌ ప్రభావంతో రాష్ట్రానికి సుమారు రూ.5,265 కోట్ల మేర నష్టం వాటిల్లిందని ప్రభుత్వం ప్రాథమికంగా అంచనా వేసినట్లు ఆయన తెలిపారు.",YSRCP,Negative
"Cyclone Montha: మొంథా తుఫాన్ ఎఫెక్ట్.. ఏపీకి ఎంత నష్టం జరిగిందో తెలుసా? మొంథా తుఫాన్ కారణంగా రాష్ట్రానికి ఏర్పడిన నష్టంపై అధికారులతో సీఎం చంద్రబాబు సమీక్ష నిర్వహించారు. ఈ సందర్భంగా వివిధ రంగాల్లో ఏర్పడిన నష్టాన్ని అధికారులు సీఎం దృష్టికి తీసుకొచ్చారు. సమావేశం తర్వాత సీఎం మాట్లాడుతూ.. తుఫాన్‌ ప్రభావంతో రాష్ట్రానికి సుమారు రూ.5,265 కోట్ల మేర నష్టం వాటిల్లిందని ప్రభుత్వం ప్రాథమికంగా అంచనా వేసినట్లు ఆయన తెలిపారు.",TDP,Negative
"Cyclone Montha: మొంథా తుఫాన్ ఎఫెక్ట్.. ఏపీకి ఎంత నష్టం జరిగిందో తెలుసా? మొంథా తుఫాన్ కారణంగా రాష్ట్రానికి ఏర్పడిన నష్టంపై అధికారులతో సీఎం చంద్రబాబు సమీక్ష నిర్వహించారు. ఈ సందర్భంగా వివిధ రంగాల్లో ఏర్పడిన నష్టాన్ని అధికారులు సీఎం దృష్టికి తీసుకొచ్చారు. సమావేశం తర్వాత సీఎం మాట్లాడుతూ.. తుఫాన్‌ ప్రభావంతో రాష్ట్రానికి సుమారు రూ.5,265 కోట్ల మేర నష్టం వాటిల్లిందని ప్రభుత్వం ప్రాథమికంగా అంచనా వేసినట్లు ఆయన తెలిపారు.",BJP,Negative
"Cyclone Montha: మొంథా తుఫాన్ ఎఫెక్ట్.. ఏపీకి ఎంత నష్టం జరిగిందో తెలుసా? మొంథా తుఫాన్ కారణంగా రాష్ట్రానికి ఏర్పడిన నష్టంపై అధికారులతో సీఎం చంద్రబాబు సమీక్ష నిర్వహించారు. ఈ సందర్భంగా వివిధ రంగాల్లో ఏర్పడిన నష్టాన్ని అధికారులు సీఎం దృష్టికి తీసుకొచ్చారు. సమావేశం తర్వాత సీఎం మాట్లాడుతూ.. తుఫాన్‌ ప్రభావంతో రాష్ట్రానికి సుమారు రూ.5,265 కోట్ల మేర నష్టం వాటిల్లిందని ప్రభుత్వం ప్రాథమికంగా అంచనా వేసినట్లు ఆయన తెలిపారు.",JANASENA,Negative
"Cyclone Montha: మొంథా తుఫాన్ ఎఫెక్ట్.. ఏపీకి ఎంత నష్టం జరిగిందో తెలుసా? మొంథా తుఫాన్ కారణంగా రాష్ట్రానికి ఏర్పడిన నష్టంపై అధికారులతో సీఎం చంద్రబాబు సమీక్ష నిర్వహించారు. ఈ సందర్భంగా వివిధ రంగాల్లో ఏర్పడిన నష్టాన్ని అధికారులు సీఎం దృష్టికి తీసుకొచ్చారు. సమావేశం తర్వాత సీఎం మాట్లాడుతూ.. తుఫాన్‌ ప్రభావంతో రాష్ట్రానికి సుమారు రూ.5,265 కోట్ల మేర నష్టం వాటిల్లిందని ప్రభుత్వం ప్రాథమికంగా అంచనా వేసినట్లు ఆయన తెలిపారు.",INC,Negative
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",YSRCP,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",YSRCP,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",YSRCP,Negative
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",TDP,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",TDP,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",TDP,Negative
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",BJP,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",BJP,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",BJP,Negative
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",INC,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",INC,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",INC,Negative
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",JANASENA,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",JANASENA,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",JANASENA,Negative
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",BRS,Negative
"కేసీఆర్ నేతృత్వంలో తెలంగాణ రాష్ట్రం అన్ని రంగాల్లో అభివృద్ధి సాధిస్తోంది. రైతు బంధు, కాళేశ్వరం వంటి పథకాలు ప్రజల్లో విశేష ఆదరణ పొందాయి. తెలంగాణను సమృద్ధి రాష్ట్రంగా తీర్చిదిద్దడమే బిఆర్ఎస్ లక్ష్యమని నేతలు తెలిపారు.",BRS,Positive
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",BRS,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",BRS,Negative
"బిఆర్ఎస్ ప్రభుత్వం ప్రజా సంక్షేమ పథకాలతో దేశవ్యాప్తంగా గుర్తింపు పొందుతోంది. విద్యుత్, నీటి సరఫరా సమస్యలను పరిష్కరించడంలో కేసీఆర్ పాలన ప్రశంసలు అందుకుంది. ప్రజల మద్దతుతో తెలంగాణలో అభివృద్ధి యుగం కొనసాగుతోందని కార్యకర్తలు పేర్కొన్నారు.",BRS,Positive
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",CPI,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",CPI,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",CPI,Negative
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",CPM,Negative
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",CPM,Positive
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",CPM,Negative
